Track ID,Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5U5ToZKDyfVoXO9BUTVSuI,Superstar,ToyRide,Toy-Box,187866,54,"europop,eurodance",0.693,0.991,6,-2.957,0.0536,0.0291,0.000457,0.971,0.952,140.011,4
0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,Arrival,ABBA,230400,79,,0.543,0.87,9,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,4
4ynkIdoOqBt3zsXwIxTIMD,Harder Better Faster Whopper - DiamondBrickZ Remix,Harder Better Faster Whopper (DiamondBrickZ Remix),"Sad Luli,DiamondBrickZ",97097,0,,0.713,0.402,1,-18.393,0.512,0.224,0,0.78,0.907,123.428,4
3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,221543,70,,0.853,0.351,7,-10.198,0.241,0.39,0.00000938,0.752,0.282,118.028,4
0fv2KH6hac06J86hBUTcSf,NEW MAGIC WAND,IGOR,"Tyler, The Creator",195320,75,,0.621,0.73,5,-5.414,0.107,0.0967,0.000131,0.673,0.464,139.566,4
2bfGNzdiRa1jXZRdfssSzR,Dirty Harry,Demon Days,"Gorillaz,Bootie Brown",230426,68,,0.625,0.877,10,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,4
3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,230733,72,pop,0.652,0.81,3,-3.789,0.0406,0.00129,0.0000291,0.667,0.732,126.022,4
7GQqj9jRtDkMp8zByehXQI,Lady Marmalade - From Moulin Rouge Soundtrack,Moulin Rouge,"Christina Aguilera,Lil' Kim,Mýa,P!nk",264846,49,east coast hip hop,0.756,0.808,5,-3.655,0.0541,0.0175,0.00000367,0.66,0.638,109.902,4
4KZAsdL0PeGvmPbSr0hyG4,Government Hooker,Born This Way (Special Edition),Lady Gaga,254266,60,"art pop,pop",0.662,0.798,7,-6.735,0.0356,0.000141,0.0488,0.64,0.511,119.98,4
4w3tQBXhn5345eUXDGBWZG,9 to 5,9 To 5 And Odd Jobs,Dolly Parton,162466,72,country,0.554,0.783,6,-5.852,0.0457,0.416,0.00000154,0.631,0.813,105.39,4
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Demon Days,Gorillaz,222640,82,,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,4
0hSzixwdKTfDQewDKq2cP5,You Reposted in the Wrong Neighborhood I Glue70 Mashup,You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,196642,48,meme rap,0.805,0.643,10,-13.912,0.232,0.41,0,0.606,0.927,104.047,4
5zA8vzDGqPl2AzZkEYQGKh,Uptown Girl,An Innocent Man,Billy Joel,197706,76,soft rock,0.701,0.944,4,-2.986,0.0455,0.0755,0,0.601,0.792,128.993,4
3hlksXnvbKogFdPbpO9vel,Super Bass,Pink Friday (Complete Edition),Nicki Minaj,200013,74,,0.723,0.86,11,-4.357,0.203,0.271,0.00000456,0.598,0.667,126.979,4
